KEY,X,Y,LNPRICE,YEAR97,YEAR98,YEAR99,YEAR00,YEAR01,LNSURAREA,LNNT,NBATH,INSIDE,MONUM,GAS_NOCV,OPENFIRE,GARAGE,DETACHED,SEMIDETA,CORNER,TERRACED,APPARTME,URBATTR,P_ALLOCH,HIGHDS_KM,RAILDS_KM,DRAIL_10,DHIGH_10,SUMOPENHA,SUMAGRHA,SUMURBHA,SUMNATHA,SUMWAHA,DIST_LOCAL,DISTREG_KM,ViewOpenSpace,PresLocOpen25,PresLocOpen50,PresLocOpen100,ISNIEUWBOU
64537,139904,469974,12.22,1,0,0,0,0,2.3,1.39,1,4,0,0,1,0,0,1,0,0,0,.2545,3,2.88,2.12,0,0,1.5154,0,1.5154,0,0,0,1.1,1,0,0,0,0
47660,139656,478864,13.28,0,0,0,1,0,5.49,1.61,1,5,0,0,0,0,1,0,0,0,0,.2108,4,1.22,1.93,0,0,2.1191,0,1.5125,0,.6066,0,0,1,0,0,0,0
64538,139904,469974,12.77,0,0,0,1,0,5.38,1.61,1,5,0,0,1,0,0,1,0,0,0,.2545,3,2.88,2.12,0,0,1.5154,0,1.5154,0,0,0,1.1,1,0,0,0,0
66603,141284,469820,11.64,1,0,0,0,0,4.38,.69,0,4,0,0,0,0,0,0,0,0,1,.2108,3,.81,2.17,0,0,.8675,0,.8675,0,0,0,.63,1,0,0,0,0
50402,138632,478137,12.29,0,1,0,0,0,5.05,1.95,1,5,0,0,1,1,0,0,0,1,0,0,4,1.68,1.36,0,0,1.4778,.2713,1.0012,0,.2053,0,0,1,0,0,0,0
47491,146476,479012,12.22,0,0,0,1,0,5.01,1.61,1,4,0,0,0,0,0,0,0,1,0,0,6,2.41,7.13,0,0,1.3503,0,1.2324,0,.1179,0,.56,1,0,0,0,0
47490,146476,479012,12.19,0,0,0,0,1,5,1.39,1,4,0,0,0,0,0,0,0,1,0,0,6,2.41,7.13,0,0,1.3503,0,1.2324,0,.1179,0,.56,1,0,0,0,0
47492,146476,479012,12.13,0,0,1,0,0,4.96,1.61,1,4,0,0,0,0,0,0,0,1,0,0,6,2.41,7.13,0,0,1.3503,0,1.2324,0,.1179,0,.56,1,0,0,0,0
60761,146391,472405,13.19,0,1,0,0,0,6.04,1.79,1,4,0,0,1,1,0,1,0,0,0,0,2,1.47,3.55,0,0,2.8656,2.8656,0,0,0,0,0,1,0,0,0,0
50403,138646,478130,12.18,0,1,0,0,0,5.07,2.08,1,3,0,0,1,1,0,0,1,0,0,0,4,1.68,1.34,0,0,1.2728,.1542,.9376,0,.181,0,.01,1,0,0,0,0
64536,139904,469974,12.45,0,1,0,0,0,5.38,1.79,1,4,0,0,0,0,0,1,0,0,0,.2545,3,2.88,2.12,0,0,1.5154,0,1.5154,0,0,0,1.1,1,0,0,0,0
